$stonepattern: 1
11111111111111111111111111111111111
11111111113         111111111111111
1     4          55     11111111111
1 1111111111111  1111=1  1111111111
1        4          1=11  114111311
1111111111111111    1=111   4     1
111111              1=1111111111111
1111                1=            1
111                 1=    4       1
131                 11111111111   1
1      ppp                  4     1
1          4          1111111111111
111   11111111       11111111111111
111   111111111     111111111111111
111   1                       11111
111   1                         111
111   1                          11
111VVV1      pppp                31
111VVV1     4       2             1
11111111111111111111111111111111111
