11111111111111111111111111111111111
1111411I                          1
1111B1I                           1
13                                1
1                                 1
1111  111                         1
1    11111                       b1
1=1111111111yyyyyyyyyyy111111111111
1=          yyyyyyyyyyy           1
1=          yyyyyyyyyyy           1
1=          yyyyyyyyyyy           1
1=          111 111 111           1
1=         413  1 1  314          1
1=         4   p1 1p   4          1
1=     1111111  1 1  1111111      1
1=     111111111111111111111      1
1=             111                1
1=              Y                 1
1=         2                      1
11111111111111111111111111111111111
