$extra: 1
$stonepattern: 1
11111111111111111111111111111111
1 C    c     1     31C  c 3    1
1            1 11   1    C= c  1
1  1111 111111^1111 1     =    1
1  1      3       1 1    11    1
1  1+ =          +1 1  =      +1
1  1+ =   p      +1 1  =      +1
1  1+ =   4      +1 1  =      +1
1b 111=1111111=1111 1 1=B1     1
11=   =      1=        =11     1
1 =   =      1c111111C1111    H1
1 =   =                1Γ3    81
1 = o =       .        1=     81
1 =11111             . 1=     81
1 =          9          =   1111
1 =           9         =      1
1 =            9        =      1
1 =                 2   =      1
1 =11111111111111111111111111111
11111111111111111111111111111111
