$stonepattern: 1
11111111111111111111111111111111
1Y          81          3      1
1           11   11            1
1            1    1            1
1     99     l   p11 1111111 111
111^11111111111   11^111μ111 111
1            1p   1  g         1
1   5        1    11111111111111
1   5        1   p1            1
1            1    1            1
1            1p   1            1
1            1    11           1
1            1       p         1
1            1    1  11        1
111          1p   1            1
11°          1    1p           1
1j           1   p1   Ω Ω  1   1
1            1    1111111111   1
1       2                   p  1
11111111111111111111111111111111
