$group: 16, 11, 2
$pistonmode: 16, 11, momentary
$sticky: 16, 11, yes
$group: 16, 19, 2
11111111111111111111
11Φ               81
111 11111111     111
111 11111111      =1
111    11111   111=1
111    1111Ì   111=1
111       1o   111=1
11ѪD      1o   311=1
11   4  2 1     11=1
111 11Џ1111111m111=1
111111 11 11111111=1
111     4 111111Ë5=1
111    11111111111=1
111    11I        =1
13     1I         =1
1      3          =1
111111            =1
13 1              11
11                11
1111111111111111m111
11111111111111111111
